month,smb,hml,umd,rf,rm,rmrf
2003m1,.02124135,.03311391,-.02652606,.0030797326,-.0897172348,-.09279697
2003m2,-.0270806,.02015279,.04510128,.0028373512,.0262383202,.02340097
2003m3,-.00962705,-.01987859,.00509626,.0028540652,-.0061808198,-.00903489
2003m4,.02202715,-.00233135,-.10905775,.0028289941,.093736698,.0909077
2003m5,.059717,.05267738,-.06321604,.0027955671,.043833506,.04103794
2003m6,.05676265,-.02815942,-.02665817,.002845708,.0031048101,.0002591
2003m7,.04312775,.02860242,-.01043988,.0026618698,.0394585987,.03679673
2003m8,.04069359,.00611287,-.03858301,.0028707796,.0156207478,.01274997
2003m9,-.00145477,.00914619,.01015822,.0028874942,-.0159710883,-.01885858
2003m10,.00016118,.00097455,.02858586,.0030964507,.0494854556,.046389
2003m11,-.02129919,.03128932,-.00807782,.003129888,.0128822703,.00975238
2003m12,-.01555565,.02046219,-.00691716,.0031633262,.0292187296,.0260554
2004m1,.07273249,.01209014,.05441837,.0032385663,-.0086622646,-.01190083
2004m2,.00337877,.00979295,.02571296,.0032970903,.0286013847,.02530429
2004m3,-.00071135,-.00166124,-.0273345,.0034141483,-.0132119456,-.01662609
2004m4,-.02390237,.00322747,-.04725223,.0034559581,.0206095029,.01715354
2004m5,-.02213785,-.00103844,-.01217819,.0036315782,-.0132119456,-.01684352
2004m6,.0332148,-.0119498,.02439754,.0037737696,.0147071009,.01093333
2004m7,-.01728823,.02326812,.00248692,.0038490555,-.015380493,-.01922955
2004m8,-.01153879,.02161333,.00001112,.0038574207,.0165352183,.0126778
2004m9,.00240278,.01720664,.00816988,.0038323245,.0277788321,.02394651
2004m10,-.00061047,.02618929,-.00585224,.0038155941,.0122747233,.00845913
2004m11,.01136038,.02649592,.01681673,.0037904993,.0239830776,.02019258
2004m12,.02328559,.00608676,-.00546572,.0038239594,.0291158131,.02529185
2005m1,.02973733,.01308971,-.00463956,.0037988641,.0132875045,.00948864
2005m2,-.01168404,-.01614807,.01132871,.0038825176,.0259304935,.02204798
2005m3,-.00251033,.01283155,-.01490372,.0038825176,-.0087613933,-.01264391
2005m4,-.03291819,-.01820207,.00133771,.0038323245,-.0225420446,-.02637437
2005m5,-.01094369,.01056728,.01738748,.0037988641,.0390428991,.03524404
2005m6,.01269048,.0011983,.0218024,.0037737696,.0339640413,.03019027
